Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Bwd Packet Length Max,Flow Bytes/s,Flow Packets/s,SYN Flag Count,ACK Flag Count,Label
73,72195.1475909645,9,9,491.60602599228395,634.5596212464898,73.75522193238052,104.81474184475465,3168.679711350706,78.75708403629628,1,1,BENIGN
89,77778.50794662209,9,3,545.7762653024678,744.5499135865883,78.71903345607112,120.88884189414517,2759.072206734855,94.00809551365693,0,2,BENIGN
73,57673.419388648115,3,5,414.94722970946066,907.344363792586,55.970010038436314,73.14648421245128,3669.744169044655,70.02909304003293,0,1,BENIGN
83,66954.86826263045,12,7,622.8881695131548,753.2905334919899,93.67611081239718,102.18805392850857,2266.9336174156015,121.63926703404375,0,0,BENIGN
76,68576.03546279913,8,7,550.2375418575007,889.9687701514101,60.09070856422985,75.33758529107146,2289.42680596771,68.68217319061485,0,1,BENIGN
77,67822.79416690175,7,4,434.5399565810208,771.519421722925,74.87078261572586,91.13656138598725,4088.1314833893994,57.80264231651846,0,0,BENIGN
66,83564.63922412618,9,4,655.8891816571658,762.0801720182725,71.09052280043929,87.86003203599908,3063.8398571451658,54.06343462410092,0,0,BENIGN
80,78415.58609026014,8,7,521.013947166486,622.2732099870968,79.22009438868537,130.86718221608967,3456.0422017188566,95.04344984590301,0,0,BENIGN
72,78627.00374886987,7,9,440.57471211580315,653.6240478201704,64.40850174382516,118.42900137319023,3036.5108676755035,83.58912083513118,0,1,BENIGN
74,70566.57063391393,7,6,537.4175782511853,627.8481170530581,60.8098394519074,94.05276234452992,3250.7985049898925,93.34110106726501,0,1,BENIGN
90,59700.430362245796,5,5,478.78857316270995,872.0220031111241,62.767053526943535,86.10612809425547,3373.703906087649,69.8033229717956,1,1,BENIGN
86,65369.92895368572,17,8,549.7480915965892,694.5740245535876,47.988057617311455,82.6446264475282,2918.277627013546,66.44641364661679,0,0,BENIGN
83,76693.808050577,5,9,481.9164128828341,822.4605159253518,71.26332694582474,122.44656643314184,2400.791102886661,78.18450222475317,1,0,BENIGN
69,56399.933140483336,0,2,468.71542359767534,835.5239767812225,53.655414409736544,106.47054707202864,2933.8951144116722,80.14533207241242,0,0,BENIGN
82,61766.945317239355,11,8,485.1756420934315,785.3717029686112,48.473111474856466,89.25553952249324,3093.91457401232,76.76624257355735,0,0,BENIGN
77,76575.12037811961,2,7,482.030791662213,777.1482309999628,72.80147227278731,44.34931064694155,3351.372612896933,85.51266213862316,0,0,BENIGN
84,67108.38180271306,13,8,662.4749331254006,616.733396326455,27.381487195342963,114.2957919497163,3512.475141096897,80.60112164993087,0,0,BENIGN
83,68710.58154409812,7,6,429.0224861723859,643.4998454351385,33.96889158958936,135.35919896622053,2714.3009020420727,88.11937309089848,0,1,BENIGN
70,76445.22644150275,7,11,400.7034104638546,708.0963308969167,69.8446362776773,124.65798384752475,2745.862966204144,81.46989491091288,0,0,BENIGN
82,77730.3244584488,7,11,633.778941210131,693.5708358718701,14.22993997652425,64.44867248388024,2532.506845196925,98.96929883471087,0,0,BENIGN
78,81295.14298331637,6,5,656.1514317913768,705.6614109006249,52.9168580242784,107.00334317656558,3010.316000550827,72.7045812700034,1,2,BENIGN
84,69279.68658976766,11,6,535.4648883093919,809.5708080015871,78.67688720531365,135.79509366412543,3271.221693640143,51.370980240239966,0,2,BENIGN
78,72706.16055507677,5,9,470.7527490887079,854.5594732926091,51.85531958203645,122.36266793435391,3405.3120589973423,67.71933760795943,1,0,BENIGN
75,75052.70075608096,6,5,473.8635461000102,593.9820658735133,83.39988819347795,112.17029396969698,2958.33345328902,78.15733485804982,0,2,BENIGN
84,66440.29160293791,10,6,484.87613803091693,897.8459657661252,54.12124204643754,90.41630169745189,1826.7847223656154,56.16040452729668,0,0,BENIGN
82,62194.78776238608,5,8,611.027820915194,762.8021169509461,86.45661683442502,134.09188342744812,3625.0935810456112,64.38651934889955,0,1,BENIGN
77,73164.07420728588,3,5,540.1948606644733,462.8688298220781,40.34574995430895,99.64563364179716,1966.6439207536666,80.97105693339556,0,0,BENIGN
78,71325.24167610815,6,7,454.31208315064686,758.9437920682028,96.37618226576163,103.93739558500583,3102.0914224638905,60.211864490259565,0,0,BENIGN
75,73902.6336094591,8,9,609.6586465657194,642.7937544065358,65.06753980311889,135.20830367150646,3580.8900893876635,92.12183385515557,1,0,BENIGN
83,79866.18297893742,12,5,480.87276022001174,740.5678084147826,56.72005313980368,92.16367520383903,3411.084798237354,73.99203029126076,0,1,BENIGN
77,64878.551596905934,3,9,330.73943997939887,519.8706378994366,56.98307874877713,124.57911171301394,3787.133249315275,60.365295206200805,0,0,BENIGN
85,59662.58481369822,7,9,483.09653383172696,855.8369964455285,45.09983553618296,107.38380939093747,3512.8225936800636,77.62490058250177,1,1,BENIGN
71,97714.17753096978,9,7,393.6902257813478,708.6673887933954,53.30114338318626,112.88707332060645,3223.373845018331,111.50116124617944,0,1,BENIGN
81,68960.42288878119,7,9,559.2820622857358,633.2791899702993,40.231277940540195,98.65179950106291,3698.0254289863105,79.53200043344438,1,0,BENIGN
80,52383.35666937879,6,6,538.8312708613988,881.3301548991403,63.198871787274804,129.07835163217635,3397.6703269560553,96.76798706360509,0,2,BENIGN
74,73466.60543701342,5,5,388.9333260411199,645.2671216835216,69.52233793021931,98.62459073842723,2189.9932703065483,105.00257756375328,0,2,BENIGN
83,65345.26076346254,2,5,593.1118445447655,588.3241161877665,78.82087368648122,87.75186053742352,3236.2586561572443,48.99336250537171,1,0,BENIGN
84,71329.22140733105,10,6,556.4950973070536,539.9852954722514,40.88578615108987,114.50948008963071,2976.4538680180926,76.11117908925638,0,1,BENIGN
77,73572.66348481354,5,6,574.8563270506601,813.5527573516645,40.55691279489275,116.77269494456755,2375.451424457023,92.46139493922433,0,0,BENIGN
77,68834.4318298434,12,8,619.7355610515009,827.9004371917703,56.84272896730311,94.67346231362559,3642.451944942959,80.68631432738827,0,0,BENIGN
79,50460.23415673638,6,5,552.635650412991,649.2607302199399,55.91896901317838,126.94210929340996,2369.5102851536617,85.38320121766313,0,1,BENIGN
82,76019.95667355019,5,7,524.1797191755804,697.9614467856504,65.50032557455607,109.2706864346333,3239.1261353539926,63.06781488549721,0,3,BENIGN
89,60256.75117374571,9,8,557.1016298721968,714.8819162634192,43.96256121582751,96.35159187273806,2704.8337921877182,82.28434297267583,0,0,BENIGN
85,78615.13795788302,4,6,439.89920351308723,829.7145544677716,61.31264194903002,128.97978808316472,2712.9739063513107,80.4419999011562,0,2,BENIGN
78,59602.4196842705,6,2,497.5818948748919,711.9237006959048,68.26156334010301,129.96216367154068,2819.1133314728418,93.72675058908959,0,0,BENIGN
69,76633.45567258708,6,7,403.44498099470354,729.9975265839662,64.66061634624691,100.58835237941531,2918.98932929327,97.83671094279364,0,1,BENIGN
96,65797.82246202842,6,4,533.1349509185271,627.1263363356215,8.532765166679056,75.73323748342591,3043.4233913926864,97.1663846941085,0,0,BENIGN
79,64899.50903653767,9,7,524.4162095007712,623.1272178709912,93.23072656042197,99.99249982483288,3777.4233220186484,72.53703971767328,0,0,BENIGN
75,65068.84332900427,7,6,616.9797327337848,578.2373516584837,40.693233350903704,134.00376293291052,3365.8789790037736,48.016015258176985,0,1,BENIGN
69,67412.69346021263,7,8,572.5416706576243,710.1491577376743,83.16901606528475,97.07453450777292,2484.6444083313972,64.11890866648487,0,0,BENIGN
83,62252.88195518941,6,8,592.5635084609024,494.2878177773213,46.37643576093086,100.98123384746205,2641.752112912815,94.64759272280047,0,1,BENIGN
82,70343.61186038856,11,4,584.2548736072154,625.4904372915221,77.01101036157466,93.51591561029578,3489.420220618504,93.26798880589237,0,0,BENIGN
79,68334.63526653672,5,10,515.8913474197396,864.8316953993074,51.11702692976059,78.76406477378303,3079.4809151307904,70.42497773000323,2,1,BENIGN
85,68430.12535936339,7,6,527.0345118797773,790.0562055800511,60.05691969776633,86.38296851965364,2358.2061775315806,78.69645083400256,0,1,BENIGN
79,65798.42826655148,8,8,497.20185810470593,711.9110598119752,59.48991348699097,118.30998536125145,2736.6416393294603,83.15410555643145,0,1,BENIGN
87,74728.85211823869,9,4,546.0866997670917,943.1340669098608,45.89978028864653,79.60960301188567,2870.9930408221603,97.36121814368133,0,0,BENIGN
79,77260.30991139913,10,11,576.4321877036524,737.4781248962787,74.79452551654897,93.02031618168895,2412.358426078687,82.92327124684904,0,0,BENIGN
77,67414.83943129539,8,6,533.8273499861875,710.399898099531,83.70655018313614,65.77664680751015,3995.9319074637983,104.10045822098913,0,1,BENIGN
83,64838.23531605271,8,8,523.5460736541692,811.4400013919676,64.39992220138322,101.6150197724604,2538.549948639239,73.80285315498716,0,2,BENIGN
81,63003.015063991385,9,6,267.9139070876008,750.8643513423046,31.44602433646329,111.56928840512484,2422.2805769826637,55.20848417331638,0,0,BENIGN
77,71430.84614184307,9,8,497.24262206991864,611.766093144999,100.9763085194185,87.88037358922804,4083.956977873385,72.30707545417157,1,2,BENIGN
74,72487.34683355062,10,8,484.8807537784239,732.0077648130514,54.60620638008885,76.56373241557756,3591.3913544010848,70.48541582738453,1,1,BENIGN
75,68871.4505648918,7,5,538.1086488318931,649.2669081707145,95.13383027261594,117.21782482036859,2471.0063722105106,79.67699113369562,0,0,BENIGN
84,76649.61151529451,10,6,581.2429338430378,677.7661888452093,81.20295559182149,136.25055630235082,3084.2060386641565,55.874470788543725,0,1,BENIGN
86,62062.32196020956,7,7,533.059872643976,796.5049019183269,43.531206870924066,91.53043405548928,3605.7878530379476,86.66969348911323,0,2,BENIGN
80,73696.55195792492,7,4,401.56040071863737,707.877978690359,58.50878564007567,86.90793662950044,3191.1265921479203,64.86538361415977,0,0,BENIGN
75,53910.2606303545,12,7,297.5264286160774,654.7985665308466,70.37575462498637,95.43718618599088,3348.778397674541,63.45445105076292,0,0,BENIGN
79,68452.57665857986,8,8,459.7108951847961,656.8325574547354,65.71129983485024,97.59700048742502,3231.7469776989396,92.21094250782383,1,0,BENIGN
68,69512.55859927463,9,6,488.354051705701,442.15409765940603,72.65968673230759,93.51935341959987,2091.8429586459683,65.18582488488572,0,1,BENIGN
82,80604.76742775824,9,4,392.90009498811344,819.8568875800879,93.83372402192288,95.24503803709273,3335.840595899252,54.41684817574829,0,0,BENIGN
78,66349.84392575832,7,6,551.6268870161744,851.3199768406985,63.22394925520871,140.59994974880922,2618.7227691091916,71.07324230303803,0,0,BENIGN
85,65511.60418579958,11,7,694.9744113344752,650.8038200012902,58.446121845850755,102.91303634572975,1689.2021917837483,90.23850716815514,0,1,BENIGN
72,59172.52615917943,9,9,621.1793120184889,605.0831984613085,41.884039444824325,94.56122400630899,1812.5861847338242,69.98817000725634,0,2,BENIGN
81,81485.51609353544,9,7,486.97046975170747,719.8153268518315,57.40294105512222,97.18178495219684,2602.2030072012567,84.40354233046406,0,0,BENIGN
78,64009.44458184612,1,7,618.460307343701,951.1914000408798,93.74839058985927,82.58396894783878,3706.3222406175405,99.03828306045436,0,1,BENIGN
83,71139.82056039784,8,7,624.0271244977821,657.4103836138199,58.50121213557441,100.14777967412368,3165.6741091651934,50.02475338314906,1,1,BENIGN
82,71381.40925822628,7,6,507.3046748178036,716.1175481389434,85.60523510836302,106.92115492569349,2919.7733097109976,113.7716068860208,0,0,BENIGN
81,68513.17462828016,2,6,445.9901614282605,819.8996316450459,50.0749645913951,121.01229297734545,3276.3288018263206,76.49237449523704,0,1,BENIGN
68,72289.80592139314,6,10,447.4635592860757,821.1117755205535,12.201507511884444,116.29250029968577,3165.9377551078883,75.8007196549425,0,0,BENIGN
82,69060.12579902314,2,6,669.8388520595673,704.9656977149799,68.31575892937411,91.23890985024752,3104.606734163199,83.02507448534737,0,1,BENIGN
75,69088.50334738007,9,6,406.9851465562814,759.1760071681696,42.85678083942662,91.05383676493246,2502.2832988978475,78.11761696130132,0,0,BENIGN
83,82340.02491881794,6,8,472.98857472259726,710.4878780794446,85.05502689900459,101.00586478054097,2509.8560419259475,67.59124759111013,0,0,BENIGN
84,60487.06331544539,4,5,367.04518794857916,840.547804449779,61.77242712471811,138.01558639447651,2143.975461216218,102.00109932540596,0,0,BENIGN
75,63350.0031197269,4,7,400.1207215279615,674.3690022757755,62.315969115132006,113.33221370812221,3060.335425162128,85.46253916886398,0,0,BENIGN
81,63140.9789396937,5,10,499.10819970738163,624.6869284853028,90.09759802141893,96.86314778970463,2611.4588929028196,55.367143675125234,0,0,BENIGN
77,74509.34401558849,8,6,483.7369286013238,821.4682995382382,107.10548295603358,89.02478341695229,3341.911358392132,112.78960519102,1,0,BENIGN
77,65813.62223395583,5,5,519.9025363994658,637.7749254535908,80.02399725300717,102.46510927145586,2761.327464603459,95.06352864351885,0,1,BENIGN
85,74013.4314051238,7,8,523.5081529675542,1009.2347288645494,84.4737700209424,123.06425242749444,3775.8870163487218,81.35727339135687,1,1,BENIGN
75,66051.53080467049,9,3,515.8348220305231,622.7948909425785,76.86432765123706,85.07652578685305,4125.254260627471,93.05290819284467,0,2,BENIGN
78,64906.93975585167,4,8,614.343661866515,638.6867409116455,42.54758316323895,77.20599823934432,3899.3395921274887,108.40239676908571,0,1,BENIGN
79,69575.52725374303,10,7,525.0412374738722,668.9866328518498,78.81200719421756,94.35988195178079,3030.0034153287816,83.73111739418242,0,0,BENIGN
78,70708.52280857474,4,4,623.3831198502745,822.5830222777265,80.28078713404204,136.49637573179973,3252.1767377672854,78.45166150623794,0,0,BENIGN
74,75311.21807821316,8,4,550.0488022385445,805.8835747932877,75.8575912272867,99.39406441122377,2497.534262488517,81.82911394886476,0,0,BENIGN
83,72201.33796820106,8,2,582.163067469603,882.7855223149,54.45064750860767,70.46202037629038,3383.996520971305,72.08378454862483,0,2,BENIGN
73,75022.71778288143,4,9,539.2579874192202,672.716130370276,65.48739916229775,111.64174774966685,3498.766520836098,94.07245428096793,0,0,BENIGN
83,60819.41800155154,11,8,605.9501592300327,637.5893616401369,66.22423396939207,117.16572001764416,3191.0325853404556,72.7466561713463,0,1,BENIGN
84,65600.1336681637,9,7,557.5569374465767,692.2734220075412,65.04629271144177,98.58100650198283,3020.473583394865,80.14210576687721,0,3,BENIGN
75,61784.95724576901,5,5,500.86917940781166,851.6788765713195,96.2676756599001,104.74648727926387,1498.5741587299428,86.5341090022692,0,0,BENIGN
74,72979.78367985688,6,8,536.2749821257833,674.5526259242042,64.11120741204176,118.3483953280448,2776.3487185584504,95.56552105338497,0,1,BENIGN
83,79322.05919757608,9,7,554.7721310419248,536.1825504335019,95.2792320630792,73.49017468610029,3543.129369363992,70.4092131807285,0,0,BENIGN
81,64393.68993599307,1,7,454.36167026455456,631.2446086342328,47.99353726435902,139.68822497770242,2650.102344686074,85.55582064502394,0,2,BENIGN
77,51792.90669439922,16,4,599.478857405394,777.7056914174993,75.54359271630057,95.37030339258341,3113.7084498468844,100.80691215158726,0,1,BENIGN
84,70583.8052494886,6,9,525.9683335143394,686.731697553775,46.98210352056267,79.88805556088053,3537.1642473340057,96.13755746596748,0,0,BENIGN
84,86972.57064147087,14,8,604.3732665895844,644.0935375614979,77.9906904705796,75.25670598137242,2662.312315892416,85.45650841556902,2,1,BENIGN
81,68809.24497763638,4,8,473.4688790596744,725.3387387968272,44.713381720509695,102.42509907407157,2076.2456509693234,88.56640572622494,1,1,BENIGN
90,72272.19916501944,9,8,433.14053507747093,928.2427477418729,82.27156168817197,95.14347157051634,2457.398122755227,89.88565781510475,0,1,BENIGN
80,68682.9940491498,7,9,606.4469593211564,540.981250349552,65.27757749072342,75.91797300660595,2197.2470335291364,89.96119737083161,0,0,BENIGN
83,78976.27495245534,14,6,609.8538434089802,422.17276660435215,41.632007861926276,110.37938742816692,3283.392095120458,102.44710451644094,0,0,BENIGN
87,74806.06496356166,13,5,522.8192794003343,654.4628585665655,78.6182661467718,95.60895665811668,2848.6368294527,57.449675987794606,0,2,BENIGN
85,48884.7600715497,3,11,485.7403974675468,684.2122297106856,85.80670882278415,103.9329058993381,2619.813324423869,76.43260187504238,1,0,BENIGN
86,67812.94280154475,7,10,451.14160678610796,788.5161867282817,55.23893098410616,71.35865947702185,2900.2220583135067,99.87174836357381,0,1,BENIGN
80,70327.86633734009,6,7,345.5000976480153,652.4779045037549,26.421127493681958,105.39397693619541,3213.150952323948,66.46689075857941,0,1,BENIGN
81,67469.81157239349,9,9,449.8063175022283,613.4144908588198,86.2802151411678,53.63143044625188,1427.008653272851,49.149639511356526,0,1,BENIGN
82,70531.91701024948,12,10,588.0848085535847,577.4851712223212,69.77155771980888,82.67594638598116,2699.0730702782903,62.602842574723596,0,1,BENIGN
80,61645.22579876914,3,5,440.89948483942806,783.132955713351,56.114382825033616,96.22667322189763,2905.6820247433225,98.64641851355441,1,1,BENIGN
78,79818.91318552577,9,6,576.803602058613,721.9663742772191,33.81938542095831,112.53812611940592,3180.1949462669495,48.43709582219087,0,1,BENIGN
83,74260.668930944,3,6,550.6608338461727,537.2102658680595,64.20565964358292,104.26658538795309,3555.177337407443,38.28383718436846,0,3,BENIGN
76,67786.00846724682,10,5,587.9285712294499,757.2965150919289,31.018531497325327,102.01186835359451,2123.1518426488265,96.19331291333542,0,0,BENIGN
74,64377.6882642595,11,6,522.1163452201497,813.939373345781,48.543801997465394,88.43348565960429,2490.681024752323,93.34337900558535,1,1,BENIGN
76,66356.952449016,4,8,419.21741405970135,673.0088950606462,39.12077310401534,62.01073800757099,1473.48680261329,64.87065432454237,0,0,BENIGN
78,62499.26945741271,5,4,516.053758248163,917.0514127372171,59.772549804870025,72.61439189573352,3764.8466221079907,63.02437094858352,0,0,BENIGN
80,94032.07668600071,5,5,528.5178942837957,697.6736430338851,54.37858197609023,86.23184913662814,3354.8868135863836,98.31540164964849,0,0,BENIGN
89,60022.48163799108,10,7,416.17431428174774,780.50632085748,40.43567307453827,78.20897803073916,2164.8803066792198,94.18281448927988,0,2,BENIGN
75,74303.25276546362,12,6,414.4655912849849,663.6874801148879,87.63474941762665,114.78187672485247,2768.0211557892244,50.345669632583835,0,2,BENIGN
88,73029.96418764141,7,5,456.48226188439185,525.1264677744448,105.19103117825328,99.4607122143394,4433.027488219194,78.73354393865581,0,2,BENIGN
75,66934.20461468057,12,9,346.0083123966267,700.1118056138337,40.70929989797047,110.78276444141122,4089.1184320486054,71.20267301814643,1,0,BENIGN
90,64219.59710959534,6,7,393.55482205318253,864.2585384403939,41.09966191741779,112.27903128159645,2225.2328462755727,81.86631008390997,0,0,BENIGN
82,62181.057367089015,12,7,287.8502531179407,912.589527044126,71.55427244472726,131.07130443124214,2893.6611291075515,41.53553945212474,0,0,BENIGN
79,66620.4292365788,8,3,504.08746273645806,651.284325683729,75.17017741557187,66.1539490229923,2744.5323435708924,108.19278877673474,0,1,BENIGN
86,69929.36153173595,10,9,619.3014187533267,661.009786655216,60.2540183322532,116.08245702040946,2551.8679261481893,80.81686201332988,0,0,BENIGN
81,81918.7127584025,6,7,465.56402369527706,621.457885683726,65.22208927770947,121.45862195993587,4331.721844844599,94.0501014701634,0,0,BENIGN
86,72217.32165576225,6,4,438.61310013117514,830.7430403857219,62.05281255954303,71.99060045751199,3524.4199728287667,85.2717441342389,0,1,BENIGN
75,76748.29608669115,3,5,395.3568888835538,655.8447396533664,47.35097933193682,92.74708162465151,3002.8654668975637,89.42229317844894,0,1,BENIGN
88,68134.29958309645,3,8,639.5260854610345,719.8526015788036,79.29068445572429,86.88766625707308,3111.59088760909,90.82943041951259,0,0,BENIGN
88,71209.88540480971,10,7,566.3992409226923,798.9248494381156,58.17689701200938,116.6735762572505,4298.4338918424255,113.98286423625083,0,2,BENIGN
73,80308.24654340671,8,3,512.5560045762234,803.4874075966144,48.5794465740769,138.7426316124862,3810.885834635889,58.32306430060723,1,1,BENIGN
77,67783.2618702592,6,4,465.92744388908375,773.4250246332585,91.01884054995102,129.16676673504986,2655.410201716466,78.0067894887975,0,2,BENIGN
71,60455.700824126994,6,7,475.59275351594965,703.5047740073228,63.45069244330201,104.66559454112084,2378.287748298831,74.23088390011839,0,1,BENIGN
85,64775.68384783156,10,9,489.16313782094693,728.1885953030347,67.00378868599302,110.71341178739638,3233.1405900550913,104.98129103270873,0,1,BENIGN
81,62706.56625556896,9,6,451.73335614481306,605.1967117562574,61.09205838850645,87.85071796134476,4225.843031689681,107.14512226636808,0,1,BENIGN
85,68789.95155735979,13,8,492.2701073541527,509.27429226755305,43.180895835350185,106.3738508556093,2736.60336663848,79.6471945528268,0,1,BENIGN
77,59129.50617072297,6,5,382.07401942142184,850.8567817505314,60.978980676899404,93.46267842568909,3450.9752617069908,78.59588093765151,0,0,BENIGN
74,73817.1383644849,12,7,516.4490040905442,612.714946155504,61.901282463295004,85.82126572718849,2903.6968924103967,92.27876210179018,0,1,BENIGN
75,65473.27791011492,11,7,570.9558517438753,513.0398801303633,54.29566361456668,90.92665750554,2645.7527675780843,87.48398657446381,0,0,BENIGN
75,61235.0460157163,11,5,492.2950606287456,664.7856679824955,43.226868301979245,107.4652194730089,3230.1991487240807,96.00253493734216,0,0,BENIGN
77,80418.47910897831,11,6,549.3219940575239,637.9005627783969,103.58949523970617,88.16867499466548,2771.806937774402,73.69246419578828,1,1,BENIGN
85,69229.21119481105,4,8,452.38930247891625,560.236613791118,54.17848911679634,112.63314201981748,4060.3353203463475,56.41287511358611,0,1,BENIGN
81,66055.12615307502,9,8,645.3172247368193,686.1837551781074,88.09600343261285,90.96488116809823,2693.689086891138,87.20414831330658,0,0,BENIGN
84,56256.51144929185,8,6,471.65046538405574,558.7756388872585,21.781951299860197,86.78183047879854,2299.7039807799483,72.76787657831566,0,0,BENIGN
74,72030.57959185289,5,5,477.26435141457546,730.2620922331532,104.67496859997253,132.27123102184572,2240.708054419065,57.48776330793459,0,1,BENIGN
79,85208.50190658424,11,10,468.24183304857513,604.9307638398915,41.0942341680784,97.72436871372501,2243.731699712927,69.22553508715633,0,1,BENIGN
77,60149.14416240685,6,7,542.6297724394143,602.3041402215379,75.44750231702812,127.73651187882088,3294.199487503214,84.05952957789016,0,0,BENIGN
69,74256.23404921003,6,7,538.0968885271038,616.6413063062915,82.8399137134514,102.26221163748058,3899.694143844425,82.87194035355662,0,0,BENIGN
87,55273.44703460541,6,6,383.68802413199853,615.7615189135558,19.057545790699713,103.80774474549273,2155.458246010162,86.28762805324612,0,0,BENIGN
72,65219.38224099337,8,6,550.6345287457434,616.4369915366162,94.61987043130956,95.24093167270944,2492.0375471323905,102.27270693365483,1,0,BENIGN
77,76371.43254718838,5,8,394.57428048298004,691.1603130722423,62.73511014386435,124.16198922281097,1900.639000116312,83.9854242734539,0,1,BENIGN
75,60885.43429173527,6,6,612.1139443514706,711.8064542143337,62.414474906584715,113.96692585228784,2031.275360814418,92.28362960156747,0,1,BENIGN
78,61352.01477849161,5,7,540.7941282380349,835.3142762044943,92.92868090028998,117.4249656177856,3020.3912078332332,84.50363926407343,0,2,BENIGN
82,71511.2335661966,4,9,383.9566362125978,830.5689118623375,82.1925900795347,68.25862359827553,2970.872934038235,58.896297581211996,0,1,BENIGN
79,60451.55995963233,8,7,497.93015439740236,589.2152686719621,55.50436675937408,105.37054336836749,2906.8150573977,115.91457602820772,0,0,BENIGN
82,62260.86809505267,9,10,432.833379788426,731.6765120212542,77.84226192889643,66.13302583855791,3984.972247362038,62.235030785840365,0,1,BENIGN
78,75621.35960648235,8,8,505.69798020145583,856.0321711441934,22.190039820136143,107.28188493227476,2819.330308191754,63.696445511327845,0,0,BENIGN
82,63726.19081583837,7,7,412.159834516454,817.908957174184,110.93178607875261,86.51965385587039,3552.587757835348,74.73544883286483,0,0,BENIGN
91,67729.35295886654,10,8,417.61902959676684,471.01144221677407,74.08174431500072,116.89036879153764,2677.44004365743,69.23263065185986,0,1,BENIGN
84,71830.07565081707,5,4,348.5216225243471,693.8857336621402,100.88337517587064,109.5578911207667,2952.076113632585,54.14731431724064,0,1,BENIGN
78,76359.28617087491,7,8,491.3194122300154,679.884680356966,87.6826705919952,84.96045131578117,2829.8852263792055,58.02346415538338,0,2,BENIGN
83,75138.81668124227,11,8,557.6277168433392,742.7947521702273,42.99222909257715,110.52190199334457,3568.4777112692864,64.83753586128195,0,2,BENIGN
78,60750.932877835265,8,10,430.61614813493577,688.8286525370082,47.479381056433056,92.82065411885905,3141.0975399115955,105.10583134664513,0,0,BENIGN
75,62342.37309113976,3,5,491.95819151977753,704.3317309720109,85.94898375041487,83.5679903085441,2531.2571874806627,67.13376691111142,0,0,BENIGN
83,64475.22521148071,10,8,480.0524546428111,634.0110299174434,66.1233817895764,84.16932469040833,4197.315046142153,82.39508415288992,0,0,BENIGN
71,74811.55070249077,9,5,456.9250506149984,627.9259571176959,67.05653829721227,118.47704256010996,2071.5390138255934,88.13866722983809,0,0,BENIGN
79,60468.46026492136,16,11,557.1725092858303,769.5376092303646,41.62779614828072,147.54697751767367,3011.0086761877146,77.90227633001757,1,1,BENIGN
76,68467.33106508694,6,7,542.1387729544577,756.4724438073405,88.52403783572498,99.91793871569465,3575.7991794779023,109.0132513051964,0,1,BENIGN
74,59448.963789452246,12,9,539.776343737373,649.4452718496985,92.57122448220592,72.65664549922322,3040.503144811155,88.24801841226329,1,0,BENIGN
64,70807.70756331715,8,7,433.3292385403175,695.3189552169417,31.69841857317043,108.41186783370226,3536.445625894101,67.55545796171182,0,0,BENIGN
